카테고리,이름,county
교통,8366,대전_동구
교통,63,대전_동구
교통,607 (비래동종점-비래동종점),대전_동구
교통,2002,대전_동구
교통,1 (원내동-신안동),대전_동구
교통,2,대전_동구
교통,20,대전_동구
교통,30,대전_동구
교통,31,대전_동구
교통,33-1,대전_동구
교통,33-2,대전_동구
교통,52,대전_동구
교통,60,대전_동구
교통,"61 (냉천,대전대-냉천)",대전_동구
교통,"61 (천개동,대전대-천개동)",대전_동구
교통,62,대전_동구
교통,63,대전_동구
교통,66,대전_동구
교통,71-1,대전_동구
교통,71-2,대전_동구
교통,101,대전_동구
교통,102,대전_동구
교통,103,대전_동구
교통,105,대전_동구
교통,106,대전_동구
교통,107,대전_동구
교통,108,대전_동구
교통,119,대전_동구
교통,201,대전_동구
교통,202,대전_동구
교통,311,대전_동구
교통,313,대전_동구
교통,314,대전_동구
교통,317,대전_동구
교통,501,대전_동구
교통,511,대전_동구
교통,512,대전_동구
교통,513,대전_동구
교통,514,대전_동구
교통,601,대전_동구
교통,602,대전_동구
교통,603,대전_동구
교통,604,대전_동구
교통,605,대전_동구
교통,606,대전_동구
교통,607,대전_동구
교통,608,대전_동구
교통,611,대전_동구
교통,612,대전_동구
교통,613,대전_동구
교통,614,대전_동구
교통,615,대전_동구
교통,616,대전_동구
교통,618,대전_동구
교통,619,대전_동구
교통,620,대전_동구
교통,622,대전_동구
교통,701,대전_동구
교통,705,대전_동구
교통,711,대전_동구
교통,802,대전_동구
교통,B1 (BRT),대전_동구
교통,e편한세상아파트,대전_동구
교통,가는골,대전_동구
교통,가는골입구,대전_동구
교통,가목정마을,대전_동구
교통,가양네거리,대전_동구
교통,가양도서관,대전_동구
교통,가양동우체국,대전_동구
교통,가양초등학교,대전_동구
교통,가오고등학교,대전_동구
교통,가오동,대전_동구
교통,가오동네거리,대전_동구
교통,가오주공아파트,대전_동구
교통,감나무골입구,대전_동구
교통,계룡디지텍고입구,대전_동구
교통,고산사입구,대전_동구
교통,공주마을,대전_동구
교통,구도동,대전_동구
교통,구샤또호텔,대전_동구
교통,구절골,대전_동구
교통,국제금식기도원,대전_동구
교통,금성마을,대전_동구
교통,꿈에그린아파트,대전_동구
교통,남대전변전소,대전_동구
교통,남대전종합물류단지,대전_동구
교통,남부여성가족원,대전_동구
교통,낭월공영차고지,대전_동구
교통,낭월공영차고지기점/낭월차고지시작지점,대전_동구
교통,냉천골종점,대전_동구
교통,대동역2번출구,대전_동구
교통,대동역3번출구,대전_동구
교통,대동역7번출구,대전_동구
교통,대동초등학교,대전_동구
교통,대별동,대전_동구
교통,대성동,대전_동구
교통,대성삼거리,대전_동구
교통,대성여자고등학교,대전_동구
교통,대전대학교,대전_동구
교통,대전대학교동문,대전_동구
교통,대전대학교입구,대전_동구
교통,대전동신과학고,대전_동구
교통,대전문학관입구,대전_동구
교통,대전보건대학,대전_동구
교통,대전복합터미널하차장,대전_동구
교통,대전역,대전_동구
교통,대전역/역전시장,대전_동구
교통,대전역/중앙시장,대전_동구
교통,대전역/하나은행,대전_동구
교통,대전역네거리,대전_동구
교통,대전역동광장,대전_동구
교통,대전역동광장종점,대전_동구
교통,대전제2시립노인병원,대전_동구
교통,대전지방국토관리청,대전_동구
교통,대전화병원,대전_동구
교통,대주파크빌,대전_동구
교통,대청동주민센터,대전_동구
교통,대청호자연생태관,대전_동구
교통,동구아름다운복지관,대전_동구
교통,동구청,대전_동구
교통,동명초등학교,대전_동구
교통,동부경찰서,대전_동구
교통,동부네거리,대전_동구
교통,동산지하차도,대전_동구
교통,동아마이스터고,대전_동구
교통,마산/진등날,대전_동구
교통,마산B지구,대전_동구
교통,만인산공원,대전_동구
교통,만인산휴양림,대전_동구
교통,면허시험장,대전_동구
교통,명석고등학교,대전_동구
교통,모래재,대전_동구
교통,모리아파트,대전_동구
교통,목척교,대전_동구
교통,미리내아파트,대전_동구
교통,바깥아감,대전_동구
교통,복음아파트,대전_동구
교통,복합터미널,대전_동구
교통,북부교,대전_동구
교통,비금부락,대전_동구
교통,비룡/새동네,대전_동구
교통,비룡/줄골,대전_동구
교통,비룡교차로,대전_동구
교통,비룡동입구,대전_동구
교통,사성동,대전_동구
교통,산내주공아파트,대전_동구
교통,산내초등학교,대전_동구
교통,산정마을,대전_동구
교통,산흥초등학교,대전_동구
교통,삼괴동/덕산마을,대전_동구
교통,삼괴동/송촌마을,대전_동구
교통,삼성2동,대전_동구
교통,삼성네거리,대전_동구
교통,삼성동행정복지센터/중부소방서,대전_동구
교통,삼성초등학교,대전_동구
교통,삼정동,대전_동구
교통,상소동(노인병원),대전_동구
교통,상소동산림욕장,대전_동구
교통,상소룡골,대전_동구
교통,상추,대전_동구
교통,새들뫼아파트,대전_동구
교통,새울,대전_동구
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
