카테고리,이름,county
교통,8326,대전_유성구
교통,43,대전_유성구
교통,45,대전_유성구
교통,47,대전_유성구
교통,47-1,대전_유성구
교통,48,대전_유성구
교통,300 (대아주공4차아파트-충남대학교)(대아-충남대),대전_유성구
교통,300 (산성동시내버스정류장-충남대학교)(산성동-충남대),대전_유성구
교통,300 (충남대학교-산성동시내버스정류장)(충남대-산성동),대전_유성구
교통,301 (충남대학교)(충남대-충남대),대전_유성구
교통,302 (공영차고지-충남대학교)(차고지-충남대),대전_유성구
교통,303 (충남대학교-산성동시내버스정류장)(동학사경유),대전_유성구
교통,340 (신원사-충남대학교)(신원사-충남대),대전_유성구
교통,340 (충남대학교-신원사(금강대방면))(충남대-신원사),대전_유성구
교통,342 (충남대학교-갑사)(충남대-갑사),대전_유성구
교통,2002,대전_유성구
교통,1 (원내동-신안동),대전_유성구
교통,1 (충대농대종점-청벽산공원),대전_유성구
교통,2,대전_유성구
교통,"3 (급,원내동-정부청사)",대전_유성구
교통,"3 (마을,군인아파트-한아름아파트)",대전_유성구
교통,5,대전_유성구
교통,11,대전_유성구
교통,41,대전_유성구
교통,42,대전_유성구
교통,46,대전_유성구
교통,72-1,대전_유성구
교통,72-2,대전_유성구
교통,73,대전_유성구
교통,75,대전_유성구
교통,101,대전_유성구
교통,102,대전_유성구
교통,103,대전_유성구
교통,104,대전_유성구
교통,105,대전_유성구
교통,106,대전_유성구
교통,107,대전_유성구
교통,108,대전_유성구
교통,113,대전_유성구
교통,114,대전_유성구
교통,115,대전_유성구
교통,116,대전_유성구
교통,117,대전_유성구
교통,119,대전_유성구
교통,121,대전_유성구
교통,201,대전_유성구
교통,202,대전_유성구
교통,203,대전_유성구
교통,211,대전_유성구
교통,212,대전_유성구
교통,213,대전_유성구
교통,216,대전_유성구
교통,301,대전_유성구
교통,312,대전_유성구
교통,318,대전_유성구
교통,601,대전_유성구
교통,603,대전_유성구
교통,604,대전_유성구
교통,606,대전_유성구
교통,618,대전_유성구
교통,701,대전_유성구
교통,704,대전_유성구
교통,705,대전_유성구
교통,706,대전_유성구
교통,712,대전_유성구
교통,802,대전_유성구
교통,911,대전_유성구
교통,912,대전_유성구
교통,918,대전_유성구
교통,1002,대전_유성구
교통,첨단1,대전_유성구
교통,특구1,대전_유성구
교통,69 (세종고속시외버스터미널-신동2통),대전_유성구
교통,69 (신동2통-세종고속시외버스터미널),대전_유성구
교통,655 (세종고속시외버스터미널-충남대학교),대전_유성구
교통,655 (충남대학교-세종고속시외버스터미널),대전_유성구
교통,661 (세종고속시외버스터미널-송강마을아파트),대전_유성구
교통,661 (송강마을아파트-세종고속시외버스터미널),대전_유성구
교통,691 (세종고속시외버스터미널-송강마을아파트),대전_유성구
교통,691 (송강마을아파트-세종고속시외버스터미널),대전_유성구
교통,1000 (반석역-신안2리(안터)),대전_유성구
교통,1000 (신안2리(안터)-반석역),대전_유성구
교통,1004 (반석역-장기중학교후문),대전_유성구
교통,1004 (장기중학교후문-반석역),대전_유성구
교통,1005 (반석역-은하수공원),대전_유성구
교통,1005 (은하수공원-반석역),대전_유성구
교통,B2 (반석역-오송역)(BRT),대전_유성구
교통,B2 (오송역-반석역)(BRT),대전_유성구
교통,DCC종점,대전_유성구
교통,KAIST문지캠퍼스,대전_유성구
교통,KT&G연구소,대전_유성구
교통,KT북대전지사,대전_유성구
교통,KT유성지사/유성전화국(반석역 방면),대전_유성구
교통,KT유성지사/유성전화국(충대 방면),대전_유성구
교통,LG생활건강기술연구원,대전_유성구
교통,LG화학기술연구원,대전_유성구
교통,LH연구원,대전_유성구
교통,MBC/TJB방송국,대전_유성구
교통,SK뷰아파트,대전_유성구
교통,k-water인재개발원,대전_유성구
교통,감골,대전_유성구
교통,갑동(동학사 방면),대전_유성구
교통,갑동(충대 방면),대전_유성구
교통,갑천역,대전_유성구
