카테고리,이름,county
교통,5-1,부산_진구
교통,10,부산_진구
교통,17,부산_진구
교통,20,부산_진구
교통,23,부산_진구
교통,24,부산_진구
교통,29,부산_진구
교통,31,부산_진구
교통,33,부산_진구
교통,38,부산_진구
교통,43,부산_진구
교통,44,부산_진구
교통,52,부산_진구
교통,54,부산_진구
교통,57,부산_진구
교통,59,부산_진구
교통,61,부산_진구
교통,62,부산_진구
교통,63,부산_진구
교통,66,부산_진구
교통,67,부산_진구
교통,68,부산_진구
교통,77,부산_진구
교통,80,부산_진구
교통,81,부산_진구
교통,82,부산_진구
교통,83,부산_진구
교통,83-1,부산_진구
교통,85,부산_진구
교통,86,부산_진구
교통,87,부산_진구
교통,88,부산_진구
교통,99,부산_진구
교통,103,부산_진구
교통,108,부산_진구
교통,110-1,부산_진구
교통,111,부산_진구
교통,124,부산_진구
교통,129-1,부산_진구
교통,131,부산_진구
교통,133,부산_진구
교통,138,부산_진구
교통,138-1,부산_진구
교통,141,부산_진구
교통,141 (심야),부산_진구
교통,160,부산_진구
교통,167,부산_진구
교통,168,부산_진구
교통,169,부산_진구
교통,169-1,부산_진구
교통,179,부산_진구
교통,186,부산_진구
교통,506,부산_진구
교통,583,부산_진구
교통,1000,부산_진구
교통,1000 (심야),부산_진구
교통,1002 (심야),부산_진구
교통,1004,부산_진구
교통,1004 (심야),부산_진구
교통,1010,부산_진구
교통,남구3,부산_진구
교통,남구5,부산_진구
교통,남구10,부산_진구
교통,동구1,부산_진구
교통,동구1-1,부산_진구
교통,부산진구1,부산_진구
교통,부산진구2,부산_진구
교통,부산진구6,부산_진구
교통,부산진구6-1,부산_진구
교통,부산진구7,부산_진구
교통,부산진구8,부산_진구
교통,부산진구9,부산_진구
교통,부산진구10,부산_진구
교통,부산진구10-1,부산_진구
교통,부산진구11,부산_진구
교통,부산진구12,부산_진구
교통,부산진구12-1,부산_진구
교통,부산진구13,부산_진구
교통,부산진구15,부산_진구
교통,부산진구17,부산_진구
교통,사상구5,부산_진구
교통,사상구5-1,부산_진구
교통,사상구5-2,부산_진구
교통,사상구6,부산_진구
교통,사상구8,부산_진구
교통,사상구8-1,부산_진구
교통,연제구1,부산_진구
교통,(구)당감4동주민센터,부산_진구
교통,(구)대우자동차,부산_진구
교통,(구)양정육교,부산_진구
교통,CBS방송국,부산_진구
교통,LG디스커버리랩,부산_진구
교통,LG사이언스홀,부산_진구
교통,NC서면점,부산_진구
교통,가남시장,부산_진구
교통,가야1치안센터,부산_진구
교통,가야2동새마을금고,부산_진구
교통,가야고교,부산_진구
교통,가야공원입구,부산_진구
교통,가야시장(가야역),부산_진구
교통,가야여자중학교,부산_진구
교통,가야전신전화국,부산_진구
교통,감로사,부산_진구
교통,개금1치안센터,부산_진구
교통,개금3동주민센터,부산_진구
교통,개금반도보라아파트,부산_진구
교통,개금변전소,부산_진구
교통,개금사회복지관,부산_진구
