카테고리,이름,county
교통,8,부산_북구
교통,8-1,부산_북구
교통,21,부산_북구
교통,23,부산_북구
교통,23 (심야1),부산_북구
교통,23-1,부산_북구
교통,70,부산_북구
교통,73,부산_북구
교통,15,부산_북구
교통,33,부산_북구
교통,33-1,부산_북구
교통,46,부산_북구
교통,59,부산_북구
교통,110,부산_북구
교통,111,부산_북구
교통,111-1,부산_북구
교통,121,부산_북구
교통,123,부산_북구
교통,124,부산_북구
교통,125,부산_북구
교통,126,부산_북구
교통,127,부산_북구
교통,128-1,부산_북구
교통,133,부산_북구
교통,148,부산_북구
교통,148-1,부산_북구
교통,160,부산_북구
교통,169,부산_북구
교통,169-1,부산_북구
교통,200,부산_북구
교통,300,부산_북구
교통,307,부산_북구
교통,1004,부산_북구
교통,1004 (심야),부산_북구
교통,1009,부산_북구
교통,강서구5,부산_북구
교통,강서구7-2,부산_북구
교통,강서구11,부산_북구
교통,강서구13,부산_북구
교통,강서구19,부산_북구
교통,금정구1,부산_북구
교통,북구1-1,부산_북구
교통,북구2,부산_북구
교통,북구3,부산_북구
교통,북구6,부산_북구
교통,북구7,부산_북구
교통,북구7-2,부산_북구
교통,북구8,부산_북구
교통,북구8-1,부산_북구
교통,북구8-2,부산_북구
교통,북구9,부산_북구
교통,e편한세상금정산아파트,부산_북구
교통,경남아파트,부산_북구
교통,경부선화명역.고용복지센터,부산_북구
교통,고려당제과점,부산_북구
교통,관음사,부산_북구
교통,구남시장,부산_북구
교통,구남역.구남중학교,부산_북구
교통,구룡사,부산_북구
교통,구명역,부산_북구
교통,구포3동,부산_북구
교통,구포3동주민센터,부산_북구
교통,구포교회,부산_북구
교통,구포대우아파트,부산_북구
교통,구포대진아파트,부산_북구
교통,구포부민병원,부산_북구
교통,구포삼거리,부산_북구
교통,구포시장,부산_북구
교통,구포시장남문,부산_북구
교통,구포시장동문,부산_북구
교통,구포시장종점,부산_북구
교통,구포역,부산_북구
교통,구포전화국,부산_북구
교통,구포종점,부산_북구
교통,구포초등학교,부산_북구
교통,구포축산물도매시장,부산_북구
교통,굿모닝힐101동,부산_북구
교통,굿모닝힐204동,부산_북구
교통,굿모닝힐304동,부산_북구
