카테고리,이름,county
교통,146,서울_강남구
교통,N13 (심야),서울_강남구
교통,N61 (심야),서울_강남구
교통,147,서울_강남구
교통,240,서울_강남구
교통,145,서울_강남구
교통,241,서울_강남구
교통,242,서울_강남구
교통,148,서울_강남구
교통,140,서울_강남구
교통,141,서울_강남구
교통,142,서울_강남구
교통,144,서울_강남구
교통,420,서울_강남구
교통,143,서울_강남구
교통,4212,서울_강남구
교통,421,서울_강남구
교통,4211,서울_강남구
교통,463,서울_강남구
교통,301,서울_강남구
교통,3217,서울_강남구
교통,2413,서울_강남구
교통,340,서울_강남구
교통,3411,서울_강남구
교통,2412,서울_강남구
교통,401,서울_강남구
교통,406,서울_강남구
교통,470,서울_강남구
교통,741,서울_강남구
교통,N37 (심야),서울_강남구
교통,3412,서울_강남구
교통,472,서울_강남구
교통,2415,서울_강남구
교통,4318,서울_강남구
교통,3413,서울_강남구
교통,400,서울_강남구
교통,405,서울_강남구
교통,TOUR02,서울_강남구
교통,342,서울_강남구
교통,402,서울_강남구
교통,341,서울_강남구
교통,362,서울_강남구
교통,440,서울_강남구
교통,4312,서울_강남구
교통,TOUR03,서울_강남구
교통,4419,서울_강남구
교통,3011,서울_강남구
교통,3426,서울_강남구
교통,3414,서울_강남구
교통,강남08,서울_강남구
교통,강남01,서울_강남구
교통,3417,서울_강남구
교통,강남07,서울_강남구
교통,333,서울_강남구
교통,4319,서울_강남구
교통,360,서울_강남구
교통,3422,서울_강남구
교통,강남06,서울_강남구
교통,350,서울_강남구
교통,6411,서울_강남구
교통,740,서울_강남구
교통,441,서울_강남구
교통,542,서울_강남구
교통,서초03,서울_강남구
교통,6009,서울_강남구
교통,9404,서울_강남구
교통,9409,서울_강남구
교통,3425,서울_강남구
교통,9711,서울_강남구
교통,3012,서울_강남구
교통,452,서울_강남구
교통,9408,서울_강남구
교통,강남05,서울_강남구
교통,461,서울_강남구
교통,643,서울_강남구
교통,8541 (맞춤버스)(공휴일제외),서울_강남구
교통,4432,서울_강남구
교통,3416,서울_강남구
교통,서초09,서울_강남구
교통,강남10,서울_강남구
교통,343,서울_강남구
교통,4433,서울_강남구
교통,서초21,서울_강남구
교통,4435,서울_강남구
교통,강남03,서울_강남구
교통,강남06-1,서울_강남구
교통,강남06-2,서울_강남구
교통,8441 (맞춤버스)(평일),서울_강남구
교통,641,서울_강남구
교통,강남02,서울_강남구
교통,서초08,서울_강남구
교통,서초18,서울_강남구
교통,서초18-1,서울_강남구
교통,서초20,서울_강남구
교통,3100,서울_강남구
교통,3600,서울_강남구
교통,2000,서울_강남구
교통,36526,서울_강남구
교통,1100,서울_강남구
교통,7007,서울_강남구
교통,1700,서울_강남구
교통,9200,서울_강남구
교통,5600,서울_강남구
교통,5700A,서울_강남구
교통,5700B,서울_강남구
교통,16,서울_강남구
교통,9303,서울_강남구
교통,9407,서울_강남구
교통,9507,서울_강남구
교통,9607,서울_강남구
교통,87,서울_강남구
교통,3300,서울_강남구
교통,500-2,서울_강남구
교통,8001,서울_강남구
교통,9202,서울_강남구
교통,M5333,서울_강남구
교통,6900,서울_강남구
교통,G3202,서울_강남구
교통,11-3,서울_강남구
교통,917,서울_강남구
교통,1007-1,서울_강남구
교통,3030,서울_강남구
교통,101,서울_강남구
교통,1007,서울_강남구
교통,1009,서울_강남구
교통,9600,서울_강남구
교통,9700,서울_강남구
교통,G7426,서울_강남구
교통,M7412,서울_강남구
교통,6427,서울_강남구
교통,M6427,서울_강남구
교통,이음2 (심야),서울_강남구
교통,1550,서울_강남구
교통,1570,서울_강남구
교통,9400,서울_강남구
교통,9800,서울_강남구
교통,3200,서울_강남구
교통,3300,서울_강남구
교통,3400,서울_강남구
교통,P9201 (출근),서울_강남구
교통,3002,서울_강남구
교통,3002 (예약),서울_강남구
교통,3007,서울_강남구
교통,3007 (예약),서울_강남구
교통,8008,서울_강남구
교통,331,서울_강남구
교통,231,서울_강남구
교통,6,서울_강남구
교통,357,서울_강남구
교통,57,서울_강남구
교통,M6450,서울_강남구
교통,9500,서울_강남구
교통,9501,서울_강남구
교통,9802,서울_강남구
