카테고리,이름,county
교통,N61 (심야),서울_관악구
교통,150,서울_관악구
교통,153,서울_관악구
교통,N15 (심야),서울_관악구
교통,152,서울_관악구
교통,4212,서울_관악구
교통,507,서울_관악구
교통,501,서울_관악구
교통,4318,서울_관악구
교통,506,서울_관악구
교통,500,서울_관악구
교통,504,서울_관악구
교통,505,서울_관악구
교통,502,서울_관악구
교통,750A,서울_관악구
교통,750B,서울_관악구
교통,4319,서울_관악구
교통,5713,서울_관악구
교통,461,서울_관악구
교통,643,서울_관악구
교통,8541 (맞춤버스)(공휴일제외),서울_관악구
교통,5413,서울_관악구
교통,540,서울_관악구
교통,4435,서울_관악구
교통,641,서울_관악구
교통,5524,서울_관악구
교통,5517,서울_관악구
교통,5511,서울_관악구
교통,5516,서울_관악구
교통,5535,서울_관악구
교통,5536,서울_관악구
교통,5633,서울_관악구
교통,5634,서울_관악구
교통,5531,서울_관악구
교통,5615,서울_관악구
교통,8551 (출근),서울_관악구
교통,동작13,서울_관악구
교통,5623,서울_관악구
교통,6513,서울_관악구
교통,동작14,서울_관악구
교통,650,서울_관악구
교통,6515,서울_관악구
교통,동작06,서울_관악구
교통,동작05,서울_관악구
교통,동작05-1,서울_관악구
교통,관악01,서울_관악구
교통,5515,서울_관악구
교통,동작20,서울_관악구
교통,6514,서울_관악구
교통,5616,서울_관악구
교통,5513,서울_관악구
교통,5528,서울_관악구
교통,5530,서울_관악구
교통,5620,서울_관악구
교통,5625,서울_관악구
교통,6512,서울_관악구
교통,관악07,서울_관악구
교통,6511,서울_관악구
교통,관악03,서울_관악구
교통,N65 (심야),서울_관악구
교통,6516,서울_관악구
교통,관악04,서울_관악구
교통,관악11,서울_관악구
교통,관악02,서울_관악구
교통,651,서울_관악구
교통,5523,서울_관악구
교통,5525,서울_관악구
교통,5522B,서울_관악구
교통,5522A,서울_관악구
교통,관악05,서울_관악구
교통,관악08,서울_관악구
교통,관악10,서울_관악구
교통,5519,서울_관악구
교통,8552 (맞춤버스)(평일),서울_관악구
교통,관악06,서울_관악구
교통,11-2,서울_관악구
교통,11-5,서울_관악구
교통,7007-1,서울_관악구
교통,M5532,서울_관악구
교통,5609,서울_관악구
교통,9,서울_관악구
교통,P9541 (퇴근),서울_관악구
교통,9-3,서울_관악구
교통,7000,서울_관악구
교통,7001,서울_관악구
교통,7770,서울_관악구
교통,7780,서울_관악구
교통,8507,서울_관악구
교통,1-1,서울_관악구
교통,103,서울_관악구
교통,777,서울_관악구
교통,3301,서울_관악구
교통,8842,서울_관악구
교통,5,서울_관악구
교통,3500,서울_관악구
교통,900,서울_관악구
교통,20,서울_관악구
교통,청림동현대아파트,서울_관악구
교통,봉천고개관악현대아파트,서울_관악구
교통,청림동현대아파트입구,서울_관악구
교통,봉현초등학교,서울_관악구
교통,동아아파트105동앞,서울_관악구
교통,성현동동아아파트,서울_관악구
교통,관악드림타운북문,서울_관악구
교통,관악푸르지오아파트,서울_관악구
교통,관악드림타운115동,서울_관악구
교통,푸르지오122동,서울_관악구
교통,청림동푸르지오아파트121동앞,서울_관악구
교통,행운동우성아파트109동앞,서울_관악구
교통,구암중학교,서울_관악구
교통,우성아파트103동,서울_관악구
교통,벽산아파트.선의사회복지관/벽산아파트501동.적십자센터,서울_관악구
교통,관악로입구,서울_관악구
교통,벽산아파트.선의사회복지관/적십자센터,서울_관악구
교통,사당역4번출구,서울_관악구
교통,관악드림타운2단지.관악선의복지관,서울_관악구
교통,사당역(중),서울_관악구
교통,남서울농협남현동지점,서울_관악구
교통,구암어린이집앞,서울_관악구
교통,성현동주민센터,서울_관악구
교통,중앙동성당앞,서울_관악구
교통,벽산블루밍아파트종점,서울_관악구
교통,벽산블루밍벽산아파트303동앞,서울_관악구
교통,벽산아파트,서울_관악구
교통,봉원중학교.행운동우성아파트,서울_관악구
교통,예술인마을.사당초등학교,서울_관악구
교통,방앗간,서울_관악구
교통,관악동부센트레빌아파트앞,서울_관악구
교통,남현동홈플러스앞,서울_관악구
교통,구암초등학교,서울_관악구
교통,사당자동차학원(중),서울_관악구
교통,현대홈타운아파트,서울_관악구
교통,은천동벽산블루밍아파트105동,서울_관악구
교통,벽산아파트후문.만물슈퍼,서울_관악구
교통,관악프라자,서울_관악구
교통,구암초등학교정문,서울_관악구
교통,국사봉,서울_관악구
교통,우리슈퍼,서울_관악구
교통,현대시장,서울_관악구
교통,현대시장앞,서울_관악구
교통,봉천사거리.봉천중앙시장,서울_관악구
교통,수정슈퍼,서울_관악구
교통,봉천사거리.위버폴리스,서울_관악구
교통,서울대입구역2호선,서울_관악구
교통,낙성대역,서울_관악구
교통,서울미술고.인헌중고,서울_관악구
교통,서울관광고등학교,서울_관악구
교통,벽산.두산아파트.서울관광고등학교,서울_관악구
교통,두산.벽산아파트.서울관광고등학교,서울_관악구
교통,낙성대입구,서울_관악구
교통,인헌중고.서울미술고,서울_관악구
교통,산성교회,서울_관악구
교통,행운동주민센터,서울_관악구
교통,인헌연세약국,서울_관악구
교통,파리바게트.낙성대지하철,서울_관악구
교통,인헌시장입구,서울_관악구
교통,인헌초등학교,서울_관악구
교통,낙성대동,서울_관악구
교통,사랑의병원,서울_관악구
교통,두산아파트입구,서울_관악구
교통,두산아파트,서울_관악구
교통,봉천사거리,서울_관악구
교통,연희빌라,서울_관악구
교통,낙성대동시장입구,서울_관악구
교통,경천교회,서울_관악구
교통,신봉초등학교입구,서울_관악구
교통,은천동두산아파트3단지,서울_관악구
교통,남태령역,서울_관악구
교통,서울대입구역5번출구,서울_관악구
교통,오리사랑,서울_관악구
교통,은천초등학교,서울_관악구
교통,서울대입구역,서울_관악구
교통,당곡중고교,서울_관악구
교통,신협,서울_관악구
교통,성원홈아파트,서울_관악구
교통,KT관악지점,서울_관악구
교통,관악구청,서울_관악구
교통,국회단지입구,서울_관악구
교통,보라매삼성아파트.모자원고개,서울_관악구
교통,동인약국.인헌중고입구,서울_관악구
교통,봉일시장,서울_관악구
교통,우리현대마트,서울_관악구
교통,낙성대현대아파트,서울_관악구
교통,봉천역6번출구,서울_관악구
교통,보라매공영주차장,서울_관악구
교통,인수당약국,서울_관악구
교통,봉천역4번출구,서울_관악구
교통,봉천역.관악초등학교,서울_관악구
교통,봉천역,서울_관악구
교통,소망유통,서울_관악구
교통,GS편의점.소망유통,서울_관악구
교통,은천교앞,서울_관악구
교통,개미유통,서울_관악구
교통,은천교,서울_관악구
교통,청룡시장,서울_관악구
교통,군인아파트,서울_관악구
교통,은천교입구,서울_관악구
교통,관악노인복지회관,서울_관악구
교통,세진아파트,서울_관악구
교통,KT&G관악지점,서울_관악구
교통,당곡중학교,서울_관악구
교통,은천길입구,서울_관악구
교통,영락고교.영락의료과학고,서울_관악구
교통,당곡사거리.롯데백화점관악점,서울_관악구
교통,보라매공원.보라매병원,서울_관악구
교통,신림성모성당앞,서울_관악구
교통,낙성대공원.영어마을,서울_관악구
교통,관악경찰서.관악소방서,서울_관악구
교통,은천아파트,서울_관악구
교통,롯데백화점관악점,서울_관악구
교통,당곡사거리,서울_관악구
교통,관악우체국,서울_관악구
교통,쑥고개시장,서울_관악구
교통,봉천교,서울_관악구
교통,롯데관악점.건강보험관악지사,서울_관악구
교통,관악우체국(양지병원),서울_관악구
교통,롯데백화점,서울_관악구
교통,신한은행앞.롯데백화점,서울_관악구
교통,서울여상.서울문영여중고앞,서울_관악구
교통,관악우체국.양지병원,서울_관악구
교통,패션문화의거리입구,서울_관악구
교통,인헌아파트,서울_관악구
교통,서울과학전시관,서울_관악구
교통,신림역,서울_관악구
교통,쑥고개,서울_관악구
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
