카테고리,이름,county
교통,N13 (심야),서울_송파구
교통,2311,서울_송파구
교통,320,서울_송파구
교통,3216,서울_송파구
교통,3220,서울_송파구
교통,303,서울_송파구
교통,9403,서울_송파구
교통,302,서울_송파구
교통,301,서울_송파구
교통,TOUR12 (토요일),서울_송파구
교통,3217,서울_송파구
교통,340,서울_송파구
교통,3318,서울_송파구
교통,3411,서울_송파구
교통,2412,서울_송파구
교통,3212,서울_송파구
교통,3214,서울_송파구
교통,강동01,서울_송파구
교통,401,서울_송파구
교통,N37 (심야),서울_송파구
교통,3412,서울_송파구
교통,3321,서울_송파구
교통,2415,서울_송파구
교통,4318,서울_송파구
교통,3413,서울_송파구
교통,342,서울_송파구
교통,402,서울_송파구
교통,341,서울_송파구
교통,3316,서울_송파구
교통,362,서울_송파구
교통,440,서울_송파구
교통,4312,서울_송파구
교통,TOUR03,서울_송파구
교통,4419,서울_송파구
교통,3011,서울_송파구
교통,3426,서울_송파구
교통,3319,서울_송파구
교통,3414,서울_송파구
교통,3417,서울_송파구
교통,333,서울_송파구
교통,4319,서울_송파구
교통,360,서울_송파구
교통,3322,서울_송파구
교통,3422,서울_송파구
교통,3313,서울_송파구
교통,3315,서울_송파구
교통,8331 (출근),서울_송파구
교통,3314,서울_송파구
교통,3317,서울_송파구
교통,350,서울_송파구
교통,6009,서울_송파구
교통,3425,서울_송파구
교통,3012,서울_송파구
교통,452,서울_송파구
교통,강남05,서울_송파구
교통,461,서울_송파구
교통,3416,서울_송파구
교통,343,서울_송파구
교통,1680,서울_송파구
교통,70,서울_송파구
교통,G1690,서울_송파구
교통,M2344,서울_송파구
교통,1001,서울_송파구
교통,1115-6,서울_송파구
교통,97,서울_송파구
교통,2000,서울_송파구
교통,0-1,서울_송파구
교통,1003,서울_송파구
교통,1200,서울_송파구
교통,1200-1,서울_송파구
교통,1650,서울_송파구
교통,119,서울_송파구
교통,1100,서울_송파구
교통,7007,서울_송파구
교통,8012,서울_송파구
교통,1000,서울_송파구
교통,1000-1,서울_송파구
교통,1670,서울_송파구
교통,1700,서울_송파구
교통,112-1,서울_송파구
교통,1112,서울_송파구
교통,1117,서울_송파구
교통,5600,서울_송파구
교통,5700A,서울_송파구
교통,5700B,서울_송파구
교통,M2352,서울_송파구
교통,16,서울_송파구
교통,30,서울_송파구
교통,1309,서울_송파구
교통,1310,서울_송파구
교통,1312,서울_송파구
교통,1801,서울_송파구
교통,8141,서울_송파구
교통,8143,서울_송파구
교통,8147,서울_송파구
교통,8153,서울_송파구
교통,44285,서울_송파구
교통,112-5,서울_송파구
교통,89,서울_송파구
교통,9302,서울_송파구
교통,9303,서울_송파구
교통,3-1,서울_송파구
교통,87,서울_송파구
교통,38,서울_송파구
교통,1,서울_송파구
교통,"7 (안촌,갈미행)",서울_송파구
교통,8,서울_송파구
교통,44346,서울_송파구
교통,35,서울_송파구
교통,G6100,서울_송파구
교통,3300,서울_송파구
교통,500-2,서울_송파구
교통,2000-2 (평일),서울_송파구
교통,8001,서울_송파구
교통,G6000,서울_송파구
교통,9202,서울_송파구
교통,M5333,서울_송파구
교통,P9243 (퇴근),서울_송파구
교통,6900,서울_송파구
교통,7000,서울_송파구
교통,7001,서울_송파구
교통,7002,서울_송파구
교통,44503,서울_송파구
교통,917,서울_송파구
교통,1007-1,서울_송파구
교통,P9243 (출근),서울_송파구
교통,31,서울_송파구
교통,32,서울_송파구
교통,101,서울_송파구
교통,500-1A (심야),서울_송파구
교통,500-1,서울_송파구
교통,1007,서울_송파구
교통,1009,서울_송파구
교통,3006,서울_송파구
교통,8002,서울_송파구
교통,7001,서울_송파구
교통,7002,서울_송파구
교통,44503,서울_송파구
교통,917,서울_송파구
교통,1007-1,서울_송파구
교통,P9243 (출근),서울_송파구
교통,31,서울_송파구
교통,32,서울_송파구
교통,101,서울_송파구
교통,500-1A (심야),서울_송파구
교통,500-1,서울_송파구
교통,1007,서울_송파구
교통,1009,서울_송파구
교통,3006,서울_송파구
교통,8002,서울_송파구
교통,100,서울_송파구
교통,331,서울_송파구
교통,231,서울_송파구
교통,200,서울_송파구
교통,50,서울_송파구
교통,21,서울_송파구
교통,50-1,서울_송파구
교통,357,서울_송파구
교통,100 (출근),서울_송파구
교통,315,서울_송파구
교통,반디1 (심야),서울_송파구
교통,반디1-1 (심야),서울_송파구
교통,67,서울_송파구
교통,풍납동씨티극동아파트,서울_송파구
교통,풍납동신성노바빌,서울_송파구
교통,풍납1동동아한가람아파트,서울_송파구
교통,풍납토성,서울_송파구
교통,갑을.미성아파트,서울_송파구
교통,풍납동강변현대아파트,서울_송파구
교통,천호역.풍납시장,서울_송파구
교통,한강극동아파트,서울_송파구
교통,풍납1치안센터입구,서울_송파구
